t,G,I,B,Te,Treg
4.04,-718.4012,2864.4388,1.2732,11.8367,999.9247
4.05,-721.2584,2864.4114,1.1852,11.8089,999.9169
4.0600000000000005,-724.1155,2864.3838,1.1031,11.7813,999.9090
4.07,-726.9726,2864.3562,1.0263,11.7538,999.9012
4.08,-729.8297,2864.3286,0.9543,11.7265,999.8933
4.09,-732.6866,2864.3009,0.8867,11.6993,999.8854
4.1,-735.5435,2864.2731,0.8234,11.6723,999.8775
4.11,-738.4004,2864.2452,0.7643,11.6454,999.8697
4.12,-741.2572,2864.2173,0.7092,11.6186,999.8618
4.13,-744.1140,2864.1894,0.6579,11.5920,999.8539
4.14,-746.9706,2864.1614,0.6102,11.5656,999.8460
4.15,-749.8273,2864.1333,0.5658,11.5392,999.8381
4.16,-752.6839,2864.1052,0.5247,11.5130,999.8302
4.17,-755.5404,2864.0771,0.4865,11.4870,999.8223
4.18,-758.3968,2864.0489,0.4510,11.4611,999.8144
4.19,-761.2532,2864.0207,0.4182,11.4353,999.8065
4.2,-764.1096,2863.9925,0.3876,11.4097,999.7985
4.21,-766.9659,2863.9642,0.3592,11.3841,999.7906
4.22,-769.8221,2863.9359,0.3328,11.3588,999.7827
4.23,-772.6783,2863.9076,0.3080,11.3335,999.7748
4.24,-775.5344,2863.8792,0.2849,11.3084,999.7668
