t,M,Ma,B,Ba,Bn,G,I,D,tD,E,R,Em
0.156,6293.0895,1457.6262,297.7104,3209524.8239,126032.3731,26.7741,42.7624,645.1883,25231.5521,68.5929,68.5753,0.0506
0.157,6316.8909,1483.3261,297.6949,3229258.5917,127625.4849,26.7728,42.7606,656.0368,25498.1965,69.0302,69.0116,0.0506
0.158,6340.4357,1509.2824,297.6794,3248981.7678,129228.2393,26.7726,42.7635,666.9786,25765.2817,69.4674,69.4480,0.0507
0.159,6363.7239,1535.4954,297.6639,3268694.3534,130840.6293,26.7737,42.7714,678.0132,26032.7898,69.9047,69.8843,0.0507
0.16,6386.7555,1561.9650,297.6484,3288396.3499,132462.6481,26.7756,42.7818,689.1404,26300.7039,70.3419,70.3205,0.0508
0.161,6409.5306,1588.6913,297.6329,3308087.7587,134094.2886,26.7779,42.7940,700.3598,26569.0065,70.7792,70.7568,0.0508
0.162,6432.0491,1615.6742,297.6174,3327768.5810,135735.5441,26.7806,42.8071,711.6711,26837.6800,71.2164,71.1930,0.0508
0.163,6454.3111,1642.9139,297.6019,3347438.8180,137386.4075,26.7834,42.8205,723.0739,27106.7068,71.6537,71.6292,0.0508
0.164,6476.3168,1670.4101,297.5864,3367098.4711,139046.8718,26.7862,42.8337,734.5678,27376.0696,72.0910,72.0653,0.0509
0.165,6498.0662,1698.1628,297.5709,3386747.5414,140716.9303,26.7889,42.8462,746.1524,27645.7511,72.5283,72.5015,0.0509
0.166,6519.5595,1726.1721,297.5554,3406386.0302,142396.5758,26.7913,42.8575,757.8273,27915.7338,72.9655,72.9376,0.0509
0.167,6540.7968,1754.4377,297.5398,3426013.9387,144085.8015,26.7934,42.8672,769.5922,28186.0007,73.4028,73.3736,0.0509
0.168,6561.7783,1782.9596,297.5243,3445631.2680,145784.6004,26.7951,42.8751,781.4465,28456.5346,73.8402,73.8097,0.0509
0.169,6582.5042,1811.7376,297.5088,3465238.0193,147492.9656,26.7963,42.8809,793.3899,28727.3183,74.2775,74.2457,0.0508
0.17,6602.9746,1840.7715,297.4933,3484834.1939,149210.8900,26.7970,42.8843,805.4220,28998.3349,74.7148,74.6817,0.0508
0.171,6623.1898,1870.0613,297.4778,3504419.7928,150938.3668,26.7971,42.8854,817.5424,29269.5674,75.1522,75.1176,0.0508
0.17200000000000001,6643.1501,1899.6066,297.4623,3523994.8171,152675.3889,26.7966,42.8840,829.7504,29540.9990,75.5896,75.5536,0.0508
0.17300000000000001,6662.8556,1929.4074,297.4467,3543559.2680,154421.9494,26.7955,42.8802,842.0459,29812.6128,76.0269,75.9895,0.0507
0.17400000000000002,6682.3067,1959.4633,297.4312,3563113.1466,156178.0413,26.7939,42.8740,854.4282,30084.3920,76.4643,76.4253,0.0507
0.17500000000000002,6701.5037,1989.7741,297.4157,3582656.4540,157943.6577,26.7917,42.8655,866.8969,30356.3201,76.9018,76.8612,0.0507
0.176,6720.4468,2020.3395,297.4002,3602189.1911,159718.7915,26.7890,42.8549,879.4515,30628.3803,77.3392,77.2970,0.0506
0.177,6739.1365,2051.1593,297.3847,3621711.3592,161503.4357,26.7859,42.8426,892.0915,30900.5562,77.7767,77.7328,0.0506
0.178,6757.5730,2082.2331,297.3691,3641222.9592,163297.5834,26.7824,42.8288,904.8165,31172.8313,78.2142,78.1685,0.0505
0.179,6775.7569,2113.5607,297.3536,3660723.9921,165101.2276,26.7787,42.8139,917.6260,31445.1891,78.6517,78.6043,0.0504
0.18,6793.6883,2145.1416,297.3381,3680214.4590,166914.3613,26.7748,42.7984,930.5194,31717.6134,79.0892,79.0400,0.0504
0.181,6811.3678,2176.9755,297.3225,3699694.3608,168736.9775,26.7709,42.7829,943.4962,31990.0878,79.5267,79.4757,0.0503
0.182,6828.7958,2209.0621,297.3070,3719163.6985,170569.0691,26.7672,42.7678,956.5559,32262.5961,79.9643,79.9113,0.0502
0.183,6845.9727,2241.4008,297.2915,3738622.4731,172410.6292,26.7637,42.7538,969.6980,32535.1223,80.4019,80.3470,0.0502
0.184,6862.8991,2273.9914,297.2759,3758070.6856,174261.6508,26.7607,42.7416,982.9219,32807.6502,80.8395,80.7826,0.0501
0.185,6879.5753,2306.8333,297.2604,3777508.3368,176122.1268,26.7584,42.7321,996.2271,33080.1638,81.2772,81.2182,0.0500
0.186,6896.0020,2339.9261,297.2448,3796935.4277,177992.0502,26.7570,42.7260,1009.6130,33352.6473,81.7149,81.6537,0.0499
0.187,6912.1796,2373.2694,297.2293,3816351.9592,179871.4140,26.7566,42.7243,1023.0791,33625.0846,82.1526,82.0892,0.0499
0.188,6928.1086,2406.8626,297.2138,3835757.9322,181760.2112,26.7576,42.7279,1036.6248,33897.4601,82.5903,82.5247,0.0498
0.189,6943.7897,2440.7051,297.1982,3855153.3475,183658.4347,26.7599,42.7367,1050.2495,34169.7582,83.0281,82.9602,0.0497
0.19,6959.2233,2474.7967,297.1827,3874538.2056,185566.0776,26.7629,42.7480,1063.9527,34441.9636,83.4659,83.3957,0.0496
0.191,6974.4101,2509.1366,297.1671,3893912.5072,187483.1327,26.7663,42.7607,1077.7338,34714.0607,83.9038,83.8311,0.0495
0.192,6989.3506,2543.7243,297.1516,3913276.2530,189409.5930,26.7699,42.7743,1091.5922,34986.0343,84.3417,84.2665,0.0494
0.193,7004.0456,2578.5593,297.1360,3932629.4437,191345.4515,26.7737,42.7882,1105.5273,35257.8689,84.7796,84.7019,0.0493
0.194,7018.4955,2613.6410,297.1204,3951972.0798,193290.7011,26.7773,42.8017,1119.5385,35529.5494,85.2175,85.1373,0.0492
0.195,7032.7011,2648.9687,297.1049,3971304.1622,195245.3348,26.7808,42.8145,1133.6252,35801.0607,85.6555,85.5726,0.0491
0.196,7046.6630,2684.5419,297.0893,3990625.6913,197209.3456,26.7841,42.8260,1147.7868,36072.3877,86.0935,86.0079,0.0490
0.197,7060.3820,2720.3598,297.0738,4009936.6678,199182.7262,26.7869,42.8359,1162.0227,36343.5156,86.5316,86.4432,0.0489
